# bin_centers, rdf
2.768676578998565674e-01,0.000000000000000000e+00
6.306030154228210449e-01,1.118514165282249451e-01
9.843383431434631348e-01,4.934332370758056641e-01
1.338073730468750000e+00,5.008629560470581055e-01
1.691808938980102539e+00,6.411107182502746582e-01
2.045544385910034180e+00,8.180184364318847656e-01
2.399279832839965820e+00,8.308953046798706055e-01
2.753015279769897461e+00,8.935061693191528320e-01
3.106750726699829102e+00,9.857823848724365234e-01
3.460486173629760742e+00,1.055423259735107422e+00
3.814221620559692383e+00,1.186146020889282227e+00
4.167957305908203125e+00,1.332615971565246582e+00
4.521692276000976562e+00,1.120389342308044434e+00
4.875428199768066406e+00,1.031792163848876953e+00
5.229163169860839844e+00,1.046786785125732422e+00
5.582899093627929688e+00,1.044250607490539551e+00
5.936634063720703125e+00,1.067210912704467773e+00
6.290369987487792969e+00,1.064310193061828613e+00
6.644104957580566406e+00,1.083671569824218750e+00
6.997840881347656250e+00,1.089220523834228516e+00
7.351575851440429688e+00,1.090877890586853027e+00
7.705311775207519531e+00,1.075281262397766113e+00
8.059046745300292969e+00,1.042610287666320801e+00
8.412781715393066406e+00,1.039706707000732422e+00
8.766516685485839844e+00,1.043781995773315430e+00
9.120251655578613281e+00,1.045720219612121582e+00
9.473986625671386719e+00,1.051008582115173340e+00
9.827721595764160156e+00,1.045011043548583984e+00
1.018145656585693359e+01,1.050266027450561523e+00
1.053519153594970703e+01,1.043701529502868652e+00
1.088892650604248047e+01,1.039733290672302246e+00
1.124266147613525391e+01,1.032291531562805176e+00
1.159639644622802734e+01,1.024724245071411133e+00
1.195013141632080078e+01,1.034600138664245605e+00
1.230386638641357422e+01,1.022511005401611328e+00
1.265760135650634766e+01,1.025345683097839355e+00
1.301133632659912109e+01,1.017662882804870605e+00
1.336507129669189453e+01,1.023729205131530762e+00
1.371880626678466797e+01,1.018823862075805664e+00
1.407254123687744141e+01,1.016375899314880371e+00
1.442627620697021484e+01,1.012756109237670898e+00
1.478001117706298828e+01,1.013009905815124512e+00
1.513374614715576172e+01,1.009233713150024414e+00
1.548748111724853516e+01,1.004440784454345703e+00
1.584121608734130859e+01,1.004281759262084961e+00
1.619495010375976562e+01,1.003506183624267578e+00
1.654868698120117188e+01,1.003719687461853027e+00
1.690242004394531250e+01,1.001584768295288086e+00
1.725615692138671875e+01,9.977597594261169434e-01
1.760988998413085938e+01,9.960651397705078125e-01
